"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Chin Up",,"",0,"normal",,1,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Chin Up",,"",1,"normal",,1,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Chin Up",,"",2,"normal",,1,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Chin Up",,"",3,"normal",,1,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Clean",,"",0,"normal",32,5,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Clean",,"",1,"normal",32,5,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Clean",,"",2,"normal",40,3,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Clean",,"",3,"normal",40,3,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Clean",,"",4,"normal",48,3,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Goblet Squat",,"",0,"normal",28,10,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Goblet Squat",,"",1,"normal",28,10,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Goblet Squat",,"",2,"normal",32,12,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Goblet Squat",,"",3,"normal",32,12,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Goblet Squat",,"",4,"normal",32,12,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Swing",,"",0,"normal",24,8,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Swing",,"",1,"normal",24,8,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Swing",,"",2,"normal",24,8,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Swing",,"",3,"normal",24,8,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Swing",,"",4,"normal",24,8,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Swing",,"",5,"normal",24,8,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Swing",,"",6,"normal",24,8,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Swing",,"",7,"normal",24,8,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Swing",,"",8,"normal",24,8,,,
"Heavy clean, volume squat","25 Feb 2026, 08:49","25 Feb 2026, 09:14","","Kettlebell Swing",,"",9,"normal",24,8,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kneeling Push Up",,"",0,"normal",,8,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kneeling Push Up",,"",1,"normal",,8,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kneeling Push Up",,"",2,"normal",,8,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Plank",,"",0,"normal",,,,20,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Plank",,"",1,"normal",,,,20,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Plank",,"",2,"normal",,,,20,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Plank",,"",3,"normal",,,,20,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Plank",,"",4,"normal",,,,20,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Plank",,"",5,"normal",,,,20,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kettlebell Shoulder Press",,"",0,"normal",28,6,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kettlebell Shoulder Press",,"",1,"normal",28,7,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kettlebell Shoulder Press",,"",2,"normal",28,7,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kettlebell Shoulder Press",,"",3,"normal",28,7,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kettlebell Shoulder Press",,"",4,"normal",28,7,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kettlebell Shoulder Press",,"",5,"normal",28,7,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kettlebell Curl",,"",0,"normal",14,10,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kettlebell Curl",,"",1,"normal",14,11,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kettlebell Curl",,"",2,"normal",14,11,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kettlebell Curl",,"",3,"normal",14,11,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kettlebell Curl",,"",4,"normal",14,11,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Kettlebell Curl",,"",5,"normal",16,10,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Burpee",,"",0,"normal",,8,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Burpee",,"",1,"normal",,8,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Burpee",,"",2,"normal",,9,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Burpee",,"",3,"normal",,9,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Burpee",,"",4,"normal",,10,,,
"Easy GEAR","24 Feb 2026, 07:24","24 Feb 2026, 07:50","Left shoulder hurt but generally easy","Burpee",,"",5,"normal",,10,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",0,"normal",,5,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",1,"normal",,5,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",2,"normal",,5,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",3,"normal",,5,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",4,"normal",,5,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",5,"normal",,5,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",6,"normal",,5,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",7,"normal",,5,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",8,"normal",,5,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",9,"normal",,5,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",10,"normal",,5,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",11,"normal",,5,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",12,"normal",,3,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",13,"normal",,3,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",14,"normal",,3,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",15,"normal",,3,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kneeling Push Up",,"",16,"normal",,3,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",0,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",1,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",2,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",3,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",4,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",5,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",6,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",7,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",8,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",9,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",10,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",11,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",12,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",13,"normal",32,2,,,
"ABC Heavy","20 Feb 2026, 08:04","20 Feb 2026, 08:29","","Kettlebell Clean",,"",14,"normal",32,2,,,
